らし,55,55,7494,助動詞,*,イ形容詞イ段,語幹,らしい,らし,*
らしい,45,45,7494,助動詞,*,イ形容詞イ段,基本形,らしい,らしい,*
らしかれ,44,44,7494,助動詞,*,イ形容詞イ段,命令形,らしい,らしかれ,*
らしかろう,46,46,7494,助動詞,*,イ形容詞イ段,基本推量形,らしい,らしかろう,*
らしかろ,48,48,7494,助動詞,*,イ形容詞イ段,基本省略推量形,らしい,らしかろ,*
らしければ,47,47,7494,助動詞,*,イ形容詞イ段,基本条件形,らしい,らしければ,*
らしく,49,49,7494,助動詞,*,イ形容詞イ段,基本連用形,らしい,らしく,*
らしかった,36,36,7494,助動詞,*,イ形容詞イ段,タ形,らしい,らしかった,*
らしかったろう,37,37,7494,助動詞,*,イ形容詞イ段,タ系推量形,らしい,らしかったろう,*
らしかったろ,39,39,7494,助動詞,*,イ形容詞イ段,タ系省略推量形,らしい,らしかったろ,*
らしかったら,38,38,7494,助動詞,*,イ形容詞イ段,タ系条件形,らしい,らしかったら,*
らしくて,43,43,7494,助動詞,*,イ形容詞イ段,タ系連用テ形,らしい,らしくて,*
らしかったり,40,40,7494,助動詞,*,イ形容詞イ段,タ系連用タリ形,らしい,らしかったり,*
らしくちゃ,41,41,7494,助動詞,*,イ形容詞イ段,タ系連用チャ形,らしい,らしくちゃ,*
らしくっちゃ,42,42,7494,助動詞,*,イ形容詞イ段,タ系連用チャ形２,らしい,らしくっちゃ,*
らしけりゃ,56,56,7494,助動詞,*,イ形容詞イ段,音便条件形,らしい,らしけりゃ,*
らしきゃ,57,57,7494,助動詞,*,イ形容詞イ段,音便条件形２,らしい,らしきゃ,*
らし,51,51,7494,助動詞,*,イ形容詞イ段,文語基本形,らしい,らし,*
らしから,52,52,7494,助動詞,*,イ形容詞イ段,文語未然形,らしい,らしから,*
らしゅう,54,54,7494,助動詞,*,イ形容詞イ段,文語連用形,らしい,らしゅう,*
らしき,53,53,7494,助動詞,*,イ形容詞イ段,文語連体形,らしい,らしき,*
らしかれ,50,50,7494,助動詞,*,イ形容詞イ段,文語命令形,らしい,らしかれ,*
の,504,504,7687,助動詞,*,ナ形容詞,語幹,のだ,の,*
のだ,497,497,7687,助動詞,*,ナ形容詞,基本形,のだ,のだ,*
のな,266,266,7687,助動詞,*,ナ形容詞,ダ列基本連体形,のだ,のな,*
のだろう,245,245,7687,助動詞,*,ナ形容詞,ダ列基本推量形,のだ,のだろう,*
のだろ,259,259,7687,助動詞,*,ナ形容詞,ダ列基本省略推量形,のだ,のだろ,*
