ところ,1127,1127,9711,名詞,副詞的名詞,*,*,ところ,ところ,代表表記:ところ/ところ
とこ,1127,1127,15999,名詞,副詞的名詞,*,*,とこ,とこ,代表表記:とこ/とこ
為,1127,1127,8166,名詞,副詞的名詞,*,*,為,ため,代表表記:為/ため
ため,1127,1127,7981,名詞,副詞的名詞,*,*,ため,ため,代表表記:為/ため
お陰,1127,1127,10684,名詞,副詞的名詞,*,*,お陰,おかげ,代表表記:お陰/おかげ
おかげ,1127,1127,10066,名詞,副詞的名詞,*,*,おかげ,おかげ,代表表記:お陰/おかげ
せい,1127,1127,6183,名詞,副詞的名詞,*,*,せい,せい,代表表記:せい/せい
あまり,1127,1127,9968,名詞,副詞的名詞,*,*,あまり,あまり,代表表記:あまり/あまり
通り,1127,1127,6332,名詞,副詞的名詞,*,*,通り,とおり,代表表記:通り/とおり
とおり,1127,1127,10197,名詞,副詞的名詞,*,*,とおり,とおり,代表表記:通り/とおり
様,1127,1127,9813,名詞,副詞的名詞,*,*,様,よう,代表表記:様/よう
よう,1127,1127,12118,名詞,副詞的名詞,*,*,よう,よう,代表表記:様/よう
代わり,1127,1127,8208,名詞,副詞的名詞,*,*,代わり,かわり,代表表記:代わり/かわり
代り,1127,1127,6740,名詞,副詞的名詞,*,*,代り,かわり,代表表記:代わり/かわり
かわり,1127,1127,10783,名詞,副詞的名詞,*,*,かわり,かわり,代表表記:代わり/かわり
他,1127,1127,9136,名詞,副詞的名詞,*,*,他,ほか,代表表記:他/ほか
ほか,1127,1127,10786,名詞,副詞的名詞,*,*,ほか,ほか,代表表記:他/ほか
ついで,1127,1127,11178,名詞,副詞的名詞,*,*,ついで,ついで,代表表記:ついで/ついで
まま,1127,1127,11235,名詞,副詞的名詞,*,*,まま,まま,代表表記:まま/まま
時,1127,1127,8681,名詞,副詞的名詞,*,*,時,とき,代表表記:時/とき
とき,1127,1127,8898,名詞,副詞的名詞,*,*,とき,とき,代表表記:時/とき
折り,1127,1127,6940,名詞,副詞的名詞,*,*,折り,おり,代表表記:折り/おり
おり,1127,1127,14077,名詞,副詞的名詞,*,*,おり,おり,代表表記:折り/おり
間,1127,1127,10812,名詞,副詞的名詞,*,*,間,あいだ,代表表記:間/あいだ
あいだ,1127,1127,10632,名詞,副詞的名詞,*,*,あいだ,あいだ,代表表記:間/あいだ
うち,1127,1127,5094,名詞,副詞的名詞,*,*,うち,うち,代表表記:うち/うち
後,1127,1127,10571,名詞,副詞的名詞,*,*,後,あと,代表表記:後/あと
あと,1127,1127,9684,名詞,副詞的名詞,*,*,あと,あと,代表表記:後/あと
