ため,1310,1310,9704,名詞,非自立,一般,*,*,*,ため,タメ,タメ
まんま,1313,1313,6379,名詞,非自立,副詞可能,*,*,*,まんま,マンマ,マンマ
以上,1313,1313,1531,名詞,非自立,副詞可能,*,*,*,以上,イジョウ,イジョー
際,1313,1313,5562,名詞,非自立,副詞可能,*,*,*,際,サイ,サイ
ふし,1310,1310,6839,名詞,非自立,一般,*,*,*,ふし,フシ,フシ
種,1310,1310,11660,名詞,非自立,一般,*,*,*,種,シュ,シュ
ところ,1313,1313,6910,名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ
様,1312,1312,7000,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー
うち,1313,1313,5796,名詞,非自立,副詞可能,*,*,*,うち,ウチ,ウチ
程,1310,1310,9068,名詞,非自立,一般,*,*,*,程,ホド,ホド
そう,1309,1309,7929,名詞,特殊,助動詞語幹,*,*,*,そう,ソウ,ソー
せい,1310,1310,6739,名詞,非自立,一般,*,*,*,せい,セイ,セイ
自身,1313,1313,8429,名詞,非自立,副詞可能,*,*,*,自身,ジシン,ジシン
ごと,1313,1313,8726,名詞,非自立,副詞可能,*,*,*,ごと,ゴト,ゴト
とき,1310,1310,8483,名詞,非自立,一般,*,*,*,とき,トキ,トキ
上,1313,1313,6970,名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ
上,1313,1313,11927,名詞,非自立,副詞可能,*,*,*,上,ジョウ,ジョー
以外,1313,1313,6241,名詞,非自立,副詞可能,*,*,*,以外,イガイ,イガイ
ＶＳ,1296,1296,4169,名詞,接続詞的,*,*,*,*,ＶＳ,バーサス,バーサス
ＶＳ,1296,1296,7682,名詞,接続詞的,*,*,*,*,ＶＳ,ブイエス,ブイエス
フシ,1310,1310,4647,名詞,非自立,一般,*,*,*,フシ,フシ,フシ
はず,1313,1313,9965,名詞,非自立,副詞可能,*,*,*,はず,ハズ,ハズ
訳,1310,1310,8944,名詞,非自立,一般,*,*,*,訳,ワケ,ワケ
さら,1310,1310,5729,名詞,非自立,一般,*,*,*,さら,サラ,サラ
よう,1312,1312,4540,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
日,1310,1310,9192,名詞,非自立,一般,*,*,*,日,ヒ,ヒ
ご覧,1308,1308,6895,名詞,動詞非自立的,*,*,*,*,ご覧,ゴラン,ゴラン
所,1313,1313,8315,名詞,非自立,副詞可能,*,*,*,所,トコロ,トコロ
なか,1313,1313,5680,名詞,非自立,副詞可能,*,*,*,なか,ナカ,ナカ
まま,1313,1313,7530,名詞,非自立,副詞可能,*,*,*,まま,ママ,ママ
生み,1310,1310,4566,名詞,非自立,一般,*,*,*,生み,ウミ,ウミ
機,1310,1310,10416,名詞,非自立,一般,*,*,*,機,キ,キ
かた,1310,1310,9605,名詞,非自立,一般,*,*,*,かた,カタ,カタ
対,1296,1296,4740,名詞,接続詞的,*,*,*,*,対,タイ,タイ
モノ,1310,1310,6069,名詞,非自立,一般,*,*,*,モノ,モノ,モノ
わけ,1310,1310,7320,名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ
ゆえ,1313,1313,7604,名詞,非自立,副詞可能,*,*,*,ゆえ,ユエ,ユエ
下,1310,1310,9364,名詞,非自立,一般,*,*,*,下,モト,モト
時,1313,1313,6652,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ
かぎり,1313,1313,6327,名詞,非自立,副詞可能,*,*,*,かぎり,カギリ,カギリ
矢先,1313,1313,5604,名詞,非自立,副詞可能,*,*,*,矢先,ヤサキ,ヤサキ
