ワーッ,3,3,2850,感動詞,*,*,*,*,*,ワーッ,ワーッ,ワーッ
ふふふ,3,3,5704,感動詞,*,*,*,*,*,ふふふ,フフフ,フフフ
ふーん,3,3,5704,感動詞,*,*,*,*,*,ふーん,フーン,フーン
モシモシ,3,3,2852,感動詞,*,*,*,*,*,モシモシ,モシモシ,モシモシ
あっかんべー,3,3,5704,感動詞,*,*,*,*,*,あっかんべー,アッカンベー,アッカンベー
すみません,3,3,5064,感動詞,*,*,*,*,*,すみません,スミマセン,スミマセン
へっ,3,3,5681,感動詞,*,*,*,*,*,へっ,ヘッ,ヘッ
おす,3,3,5824,感動詞,*,*,*,*,*,おす,オス,オス
こりゃー,3,3,5704,感動詞,*,*,*,*,*,こりゃー,コリャー,コリャー
ただいま,3,3,6395,感動詞,*,*,*,*,*,ただいま,タダイマ,タダイマ
ありゃりゃ,3,3,5704,感動詞,*,*,*,*,*,ありゃりゃ,アリャリャ,アリャリャ
いただきます,3,3,6184,感動詞,*,*,*,*,*,いただきます,イタダキマス,イタダキマス
きゃー,3,3,5660,感動詞,*,*,*,*,*,きゃー,キャー,キャー
ううん,3,3,5743,感動詞,*,*,*,*,*,ううん,ウウン,ウーン
はっ,3,3,6196,感動詞,*,*,*,*,*,はっ,ハッ,ハッ
あきまへん,3,3,5704,感動詞,*,*,*,*,*,あきまへん,アキマヘン,アキマヘン
どーも,3,3,5704,感動詞,*,*,*,*,*,どーも,ドーモ,ドーモ
どうぞ,3,3,5985,感動詞,*,*,*,*,*,どうぞ,ドウゾ,ドーゾ
いやあ,3,3,5671,感動詞,*,*,*,*,*,いやあ,イヤア,イヤー
へーっ,3,3,5704,感動詞,*,*,*,*,*,へーっ,ヘーッ,ヘーッ
ヤッター,3,3,2847,感動詞,*,*,*,*,*,ヤッター,ヤッター,ヤッター
まあ,3,3,4429,感動詞,*,*,*,*,*,まあ,マア,マー
やれやれ,3,3,5698,感動詞,*,*,*,*,*,やれやれ,ヤレヤレ,ヤレヤレ
すまん,3,3,5704,感動詞,*,*,*,*,*,すまん,スマン,スマン
お,3,3,8666,感動詞,*,*,*,*,*,お,オ,オ
お疲れさま,3,3,5704,感動詞,*,*,*,*,*,お疲れさま,オツカレサマ,オツカレサマ
なあんだ,3,3,5703,感動詞,*,*,*,*,*,なあんだ,ナアンダ,ナーンダ
じゃ,3,3,6184,感動詞,*,*,*,*,*,じゃ,ジャ,ジャ
ぎょ,3,3,5547,感動詞,*,*,*,*,*,ぎょ,ギョ,ギョ
サヨナラ,3,3,2928,感動詞,*,*,*,*,*,サヨナラ,サヨナラ,サヨナラ
おそまつ様,3,3,5704,感動詞,*,*,*,*,*,おそまつ様,オソマツサマ,オソマツサマ
ウン,3,3,2634,感動詞,*,*,*,*,*,ウン,ウン,ウン
ふむふむ,3,3,5698,感動詞,*,*,*,*,*,ふむふむ,フムフム,フムフム
あぁ,3,3,5704,感動詞,*,*,*,*,*,あぁ,アァ,アー
へぇ,3,3,5704,感動詞,*,*,*,*,*,へぇ,ヘェ,ヘー
有難う,3,3,4099,感動詞,*,*,*,*,*,有難う,アリガトウ,アリガトー
なるほど,3,3,4554,感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド
へえ,3,3,5705,感動詞,*,*,*,*,*,へえ,ヘエ,ヘー
あれれ,3,3,5774,感動詞,*,*,*,*,*,あれれ,アレレ,アレレ
はてな,3,3,5702,感動詞,*,*,*,*,*,はてな,ハテナ,ハテナ
ええい,3,3,5831,感動詞,*,*,*,*,*,ええい,エエイ,エーイ
うふ,3,3,5704,感動詞,*,*,*,*,*,うふ,ウフ,ウフ
ごっつぁん,3,3,5704,感動詞,*,*,*,*,*,ごっつぁん,ゴッツァン,ゴッツァン
どれどれ,3,3,6828,感動詞,*,*,*,*,*,どれどれ,ドレドレ,ドレドレ
な,3,3,8349,感動詞,*,*,*,*,*,な,ナ,ナ
ぎゃあ,3,3,5704,感動詞,*,*,*,*,*,ぎゃあ,ギャア,ギャー
こらぁ,3,3,5704,感動詞,*,*,*,*,*,こらぁ,コラァ,コラー
なあに,3,3,5704,感動詞,*,*,*,*,*,なあに,ナアニ,ナーニ
さぁ,3,3,5704,感動詞,*,*,*,*,*,さぁ,サァ,サー
アップップ〜,3,3,2843,感動詞,*,*,*,*,*,アップップ〜,アップップー,アップップー
メリークリスマス,3,3,2287,感動詞,*,*,*,*,*,メリークリスマス,メリークリスマス,メリークリスマス
なんと,3,3,4776,感動詞,*,*,*,*,*,なんと,ナント,ナント
えーッ,3,3,5704,感動詞,*,*,*,*,*,えーッ,エーッ,エーッ
ぎゃふん,3,3,5704,感動詞,*,*,*,*,*,ぎゃふん,ギャフン,ギャフン
まぁ,3,3,5704,感動詞,*,*,*,*,*,まぁ,マァ,マー
おやすみ,3,3,5692,感動詞,*,*,*,*,*,おやすみ,オヤスミ,オヤスミ
おや,3,3,5765,感動詞,*,*,*,*,*,おや,オヤ,オヤ
おお,3,3,6498,感動詞,*,*,*,*,*,おお,オオ,オー
何だ,3,3,4014,感動詞,*,*,*,*,*,何だ,ナンダ,ナンダ
ハッハッハ,3,3,2840,感動詞,*,*,*,*,*,ハッハッハ,ハッハッハ,ハッハッハ
わぁ,3,3,5704,感動詞,*,*,*,*,*,わぁ,ワァ,ワー
ご馳走さま,3,3,5704,感動詞,*,*,*,*,*,ご馳走さま,ゴチソウサマ,ゴチソーサマ
えーっ,3,3,5704,感動詞,*,*,*,*,*,えーっ,エーッ,エーッ
すんません,3,3,5704,感動詞,*,*,*,*,*,すんません,スンマセン,スンマセン
ありゃ,3,3,5802,感動詞,*,*,*,*,*,ありゃ,アリャ,アリャ
よーし,3,3,5704,感動詞,*,*,*,*,*,よーし,ヨーシ,ヨーシ
ご苦労さん,3,3,6304,感動詞,*,*,*,*,*,ご苦労さん,ゴクロウサン,ゴクローサン
わーい,3,3,5704,感動詞,*,*,*,*,*,わーい,ワーイ,ワーイ
トホホ,3,3,2727,感動詞,*,*,*,*,*,トホホ,トホホ,トホホ
よしっ,3,3,5704,感動詞,*,*,*,*,*,よしっ,ヨシッ,ヨシッ
どっこい,3,3,5706,感動詞,*,*,*,*,*,どっこい,ドッコイ,ドッコイ
こんばんわ,3,3,5704,感動詞,*,*,*,*,*,こんばんわ,コンバンワ,コンバンワ
うふっ,3,3,5704,感動詞,*,*,*,*,*,うふっ,ウフッ,ウフッ
おい,3,3,6329,感動詞,*,*,*,*,*,おい,オイ,オイ
どっこいしょ,3,3,5704,感動詞,*,*,*,*,*,どっこいしょ,ドッコイショ,ドッコイショ
ごちそうさま,3,3,5704,感動詞,*,*,*,*,*,ごちそうさま,ゴチソウサマ,ゴチソーサマ
ぐふっ,3,3,5704,感動詞,*,*,*,*,*,ぐふっ,グフッ,グフッ
あれよあれよ,3,3,5704,感動詞,*,*,*,*,*,あれよあれよ,アレヨアレヨ,アレヨアレヨ
おかえり,3,3,5704,感動詞,*,*,*,*,*,おかえり,オカエリ,オカエリ
そらそら,3,3,5700,感動詞,*,*,*,*,*,そらそら,ソラソラ,ソラソラ
ほら,3,3,5277,感動詞,*,*,*,*,*,ほら,ホラ,ホラ
ええ,3,3,5885,感動詞,*,*,*,*,*,ええ,エエ,エー
あっ,3,3,4317,感動詞,*,*,*,*,*,あっ,アッ,アッ
へーえ,3,3,5694,感動詞,*,*,*,*,*,へーえ,ヘーエ,ヘー
ヨロシク,3,3,2832,感動詞,*,*,*,*,*,ヨロシク,ヨロシク,ヨロシク
ゴメン,3,3,3057,感動詞,*,*,*,*,*,ゴメン,ゴメン,ゴメン
